Name,Nationality,Overall,Wage €'s,Wage $'s, Annualized Salary Wage €'s ,Annualized Salary Wage S's,Age,Potential
B. Šerbečić,Bosnia Herzegovina,62,1, 1 ," 52,000 ","59,770",20,76
G. Fuentes,Colombia,62,1, 1 ," 52,000 ","59,770",21,71
J. Coppens,Belgium,62,1, 1 ," 52,000 ","59,770",27,64
L. Maniero,Italy,62,1, 1 ," 52,000 ","59,770",23,68
S. Antonijevic,United States,62,1, 1 ," 52,000 ","59,770",29,62
J. Zwarts,Netherlands,62,1, 1 ," 52,000 ","59,770",19,77
Sun Shilin,China PR,62,3, 3 ," 156,000 ","179,310",29,62
L. Rodríguez,Colombia,62,1, 1 ," 52,000 ","59,770",23,68
R. Fergonzi,Argentina,62,1, 1 ," 52,000 ","59,770",29,62
M. Makasi,England,62,10, 11 ," 520,000 ","597,701",22,69
A. Pelvas,Finland,62,1, 1 ," 52,000 ","59,770",29,62
T. Rocha,United States,62,1, 1 ," 52,000 ","59,770",24,67
H. Suárez,Colombia,62,1, 1 ," 52,000 ","59,770",24,70
A. Oviedo,Paraguay,62,3, 3 ," 156,000 ","179,310",22,69
M. Carraro,Italy,62,1, 1 ," 52,000 ","59,770",20,76
Hugo Duro,Spain,62,2, 2 ," 104,000 ","119,540",18,75
Cao Yang,China PR,62,2, 2 ," 104,000 ","119,540",36,62
K. McHattie,Scotland,62,1, 1 ," 52,000 ","59,770",24,67
N. Pelaitay,Argentina,62,2, 2 ," 104,000 ","119,540",25,68
U. Torres,Mexico,62,6, 7 ," 312,000 ","358,621",20,73
Javi Mier,Spain,62,1, 1 ," 52,000 ","59,770",19,76
D. Facchin,Italy,62,1, 1 ," 52,000 ","59,770",31,62
J. Turnbull,England,62,2, 2 ," 104,000 ","119,540",23,70
J. Manns,Sweden,62,1, 1 ," 52,000 ","59,770",22,64
D. Al Qarni,Saudi Arabia,62,4, 5 ," 208,000 ","239,080",29,62
D. Erdoğan,Turkey,62,2, 2 ," 104,000 ","119,540",21,73
J. Eiswohld,Sweden,62,1, 1 ," 52,000 ","59,770",28,63
K. Sarkodie,United States,62,1, 1 ," 52,000 ","59,770",27,63
B. Garmston,Republic of Ireland,62,1, 1 ," 52,000 ","59,770",24,64
M. Cubillos,Chile,62,1, 1 ," 52,000 ","59,770",22,69
H. Cornick,England,62,2, 2 ," 104,000 ","119,540",23,70
Ernest Forgás,Spain,62,2, 2 ," 104,000 ","119,540",24,66
K. Appin,France,62,2, 2 ," 104,000 ","119,540",20,73
Abenza,Spain,62,1, 1 ," 52,000 ","59,770",22,69
D. Schütz,Austria,62,3, 3 ," 156,000 ","179,310",27,62
H. Shaian,Saudi Arabia,62,3, 3 ," 156,000 ","179,310",29,62
Yun Sang Ho,Korea Republic,62,1, 1 ," 52,000 ","59,770",26,63
P. Caddis,Scotland,62,2, 2 ," 104,000 ","119,540",30,62
I. Diallo,France,62,1, 1 ," 52,000 ","59,770",19,79
M. Sak,Turkey,62,4, 5 ," 208,000 ","239,080",28,62
C. Halkett,Scotland,62,1, 1 ," 52,000 ","59,770",23,70
S. Al Masrahi,Saudi Arabia,62,3, 3 ," 156,000 ","179,310",31,62
C. Ogbene,Republic of Ireland,62,5, 6 ," 260,000 ","298,851",21,72
C. Cisternas,Chile,62,1, 1 ," 52,000 ","59,770",32,62
D. Sugimoto,Japan,62,1, 1 ," 52,000 ","59,770",24,66
L. Lapoussin,France,62,1, 1 ," 52,000 ","59,770",22,69
Nam Seung Woo,Korea Republic,62,1, 1 ," 52,000 ","59,770",26,64
C. Sibbald,Scotland,62,1, 1 ," 52,000 ","59,770",23,68
A. Sánchez,Mexico,62,2, 2 ," 104,000 ","119,540",19,73
Y. Tasaka,Japan,62,2, 2 ," 104,000 ","119,540",32,62
N. Estévez,Argentina,62,3, 3 ," 156,000 ","179,310",22,70
T. Siedschlag,Germany,62,2, 2 ," 104,000 ","119,540",30,62
D. Mullen,Scotland,62,2, 2 ," 104,000 ","119,540",23,66
C. Clements,England,62,3, 3 ," 156,000 ","179,310",28,62
K. Wilson,England,62,2, 2 ," 104,000 ","119,540",18,74
B. Kraev,Bulgaria,62,3, 3 ," 156,000 ","179,310",21,69
F. Baise,Hong Kong,62,2, 2 ," 104,000 ","119,540",38,62
D. Grubb,England,62,3, 3 ," 156,000 ","179,310",26,62
K. Roos,Netherlands,62,5, 6 ," 260,000 ","298,851",26,66
Longchang Lin,China PR,62,3, 3 ," 156,000 ","179,310",28,62
A. Mosquera,Colombia,62,1, 1 ," 52,000 ","59,770",30,62
T. Yokoyama,Japan,62,1, 1 ," 52,000 ","59,770",33,62
J. Segre,Italy,62,5, 6 ," 260,000 ","298,851",21,71
M. O'Brien,Republic of Ireland,62,2, 2 ," 104,000 ","119,540",25,65
J. Clisby,Australia,62,1, 1 ," 52,000 ","59,770",26,64
H. Anderson,England,62,3, 3 ," 156,000 ","179,310",21,73
Kike,Spain,62,1, 1 ," 52,000 ","59,770",18,72
C. Akas,Nigeria,62,1, 1 ," 52,000 ","59,770",24,69
M. Thorbjörnsson,Sweden,62,1, 1 ," 52,000 ","59,770",30,62
A. Al Zubaidi,Saudi Arabia,62,5, 6 ," 260,000 ","298,851",25,67
M. Kühne,Germany,62,1, 1 ," 52,000 ","59,770",30,62
T. Majrashi,Saudi Arabia,62,4, 5 ," 208,000 ","239,080",27,62
M. Ofkir,Norway,62,1, 1 ," 52,000 ","59,770",21,70
A. Amaya,Colombia,62,1, 1 ," 52,000 ","59,770",17,82
Du Zhenyu,China PR,62,2, 2 ," 104,000 ","119,540",35,62
C. Raglan,England,62,2, 2 ," 104,000 ","119,540",25,64
D. Wright,England,62,1, 1 ," 52,000 ","59,770",23,69
W. Pérez,Argentina,62,1, 1 ," 52,000 ","59,770",19,77
B. Utvik,Norway,62,1, 1 ," 52,000 ","59,770",22,69
E. Torres,Mexico,62,5, 6 ," 260,000 ","298,851",20,72
A. Tabanelli,Italy,62,1, 1 ," 52,000 ","59,770",28,62
A. Berzel,Germany,62,1, 1 ," 52,000 ","59,770",26,64
J. Cranston,Wales,62,2, 2 ," 104,000 ","119,540",24,67
C. Stefańczyk,Poland,62,1, 1 ," 52,000 ","59,770",34,62
M. Gómez,Colombia,62,1, 1 ," 52,000 ","59,770",21,76
Fachendinho,Brazil,62,3, 3 ," 156,000 ","179,310",26,62
Y. van Osch,Netherlands,62,1, 1 ," 52,000 ","59,770",21,74
Lin Chuangyi,China PR,62,3, 3 ," 156,000 ","179,310",25,66
Yago,Brazil,62,1, 1 ," 52,000 ","59,770",21,76
S. van der Lei,Netherlands,62,1, 1 ," 52,000 ","59,770",25,68
M. Austin,Australia,62,1, 1 ," 52,000 ","59,770",27,62
W. Balikwisha,Belgium,62,1, 1 ," 52,000 ","59,770",19,75
M. Piątkowski,Poland,62,1, 1 ," 52,000 ","59,770",33,62
H. Löfkvist,Sweden,62,1, 1 ," 52,000 ","59,770",23,68
B. N'Gala,England,62,2, 2 ," 104,000 ","119,540",28,62
N. Gjorgjev,FYR Macedonia,62,2, 2 ," 104,000 ","119,540",20,72
I. Anthony,Nigeria,62,1, 1 ," 52,000 ","59,770",20,68
J. Delétraz,France,62,1, 1 ," 52,000 ","59,770",32,62
K. Junker,Denmark,62,2, 2 ," 104,000 ","119,540",24,67
F. Ortega,Argentina,62,1, 1 ," 52,000 ","59,770",19,78
Josep Martínez,Spain,62,1, 1 ," 52,000 ","59,770",20,75
S. Barratt,England,62,2, 2 ," 104,000 ","119,540",22,67
O. Rodas,Colombia,62,1, 1 ," 52,000 ","59,770",31,62
B. Lozano,Mexico,62,3, 3 ," 156,000 ","179,310",21,74
I. Wadji,Senegal,62,1, 1 ," 52,000 ","59,770",23,71
Liu Weidong,China PR,62,2, 2 ," 104,000 ","119,540",31,62
B. Prokopič,Austria,62,3, 3 ," 156,000 ","179,310",30,62
M. Gardawski,Germany,62,1, 1 ," 52,000 ","59,770",27,62
T. King,England,62,2, 2 ," 104,000 ","119,540",23,70
P. Sarr,Senegal,62,3, 3 ," 156,000 ","179,310",25,65
N. Bustos,Argentina,62,2, 2 ," 104,000 ","119,540",19,79
M. Bauer,Germany,62,1, 1 ," 52,000 ","59,770",23,67
Javi Alonso,Spain,62,1, 1 ," 52,000 ","59,770",19,78
H. Hosogai,Japan,62,2, 2 ," 104,000 ","119,540",32,62
A. Iniestra,Mexico,62,3, 3 ," 156,000 ","179,310",22,72
N. Holland,England,62,8, 9 ," 416,000 ","478,161",20,77
P. Nguinda,France,62,7, 8 ," 364,000 ","418,391",22,69
K. Brünker,Germany,62,2, 2 ," 104,000 ","119,540",24,69
A. Collin,England,62,2, 2 ," 104,000 ","119,540",33,62
A. Al Shamekh,Saudi Arabia,62,3, 3 ," 156,000 ","179,310",25,67
R. Delaney,Republic of Ireland,62,1, 1 ," 52,000 ","59,770",21,72
K. Yamamoto,Japan,62,1, 1 ," 52,000 ","59,770",28,62
S. Nakahara,Japan,62,1, 1 ," 52,000 ","59,770",24,66
S. Ingolitsch,Austria,62,2, 2 ," 104,000 ","119,540",21,68
L. D'Ath,England,62,3, 3 ," 156,000 ","179,310",25,64
Tiagildo Serra,Brazil,62,3, 3 ," 156,000 ","179,310",30,62
S. Rasswalder,Austria,62,2, 2 ," 104,000 ","119,540",31,62
J. Esquivel,Mexico,62,1, 1 ," 52,000 ","59,770",20,73
F. Baak,Germany,62,2, 2 ," 104,000 ","119,540",19,73
Zhang Chiming,China PR,62,3, 3 ," 156,000 ","179,310",29,62
R. Pillot,France,62,1, 1 ," 52,000 ","59,770",27,64
S. Kavanagh,Republic of Ireland,62,1, 1 ," 52,000 ","59,770",24,66
S. Nattestad,Faroe Islands,62,1, 1 ," 52,000 ","59,770",23,68
T. Broadbent,England,62,2, 2 ," 104,000 ","119,540",26,62
M. Bottani,Switzerland,62,2, 2 ," 104,000 ","119,540",27,62
Feng Zhuoyi,China PR,62,3, 3 ," 156,000 ","179,310",29,62
A. Falch,Norway,62,1, 1 ," 52,000 ","59,770",26,67
K. Ono,Japan,62,1, 1 ," 52,000 ","59,770",28,62
H. Kawabe,Japan,62,2, 2 ," 104,000 ","119,540",22,71
R. Rabeï,France,62,3, 3 ," 156,000 ","179,310",23,68
D. Duarte,Mexico,62,1, 1 ," 52,000 ","59,770",33,62
R. Hutton,England,62,2, 2 ," 104,000 ","119,540",19,74
J. Torres,United States,62,1, 1 ," 52,000 ","59,770",18,75
B. Bye,United States,62,1, 1 ," 52,000 ","59,770",22,69
J. Iritier,Argentina,62,2, 2 ," 104,000 ","119,540",23,68
P. López,Mexico,62,4, 5 ," 208,000 ","239,080",20,75
L. Salas,Chile,62,1, 1 ," 52,000 ","59,770",20,74
L. Young,England,62,2, 2 ," 104,000 ","119,540",28,62
D. Bachmann,Austria,62,5, 6 ," 260,000 ","298,851",23,70
D. Olsson,Sweden,62,1, 1 ," 52,000 ","59,770",23,68
S. Nkansah,Germany,62,1, 1 ," 52,000 ","59,770",22,71
R. Brewster,England,62,8, 9 ," 416,000 ","478,161",18,84
V. Méndez,Chile,62,1, 1 ," 52,000 ","59,770",18,72
M. Veloso,Switzerland,62,2, 2 ," 104,000 ","119,540",26,63
Y. Arquin,France,62,2, 2 ," 104,000 ","119,540",30,62
M. Jelavić,Croatia,62,2, 2 ," 104,000 ","119,540",24,65
A. Edathodika,India,62,€ 0, -   , -   ,0,31,62
Luis Perea,Spain,62,1, 1 ," 52,000 ","59,770",20,75
J. Villalba,Paraguay,62,3, 3 ," 156,000 ","179,310",19,77
Perera,Spain,62,3, 3 ," 156,000 ","179,310",21,73
E. Kane,Senegal,62,1, 1 ," 52,000 ","59,770",23,71
Carlitos,Portugal,62,1, 1 ," 52,000 ","59,770",25,65
B. Mwila,Zambia,62,2, 2 ," 104,000 ","119,540",24,66
S. Pittman,Scotland,62,1, 1 ," 52,000 ","59,770",25,65
E. Bajrami,Sweden,62,1, 1 ," 52,000 ","59,770",30,62
R. Duffy,Wales,62,3, 3 ," 156,000 ","179,310",32,62
J. Karlström,Sweden,62,1, 1 ," 52,000 ","59,770",23,68
Li Tixiang,China PR,62,3, 3 ," 156,000 ","179,310",28,62
L. Watkowiak,Germany,62,1, 1 ," 52,000 ","59,770",22,68
O. Sangante,Senegal,62,1, 1 ," 52,000 ","59,770",27,63
G. Buckley,Republic of Ireland,62,1, 1 ," 52,000 ","59,770",24,65
K. Jakob,Germany,62,3, 3 ," 156,000 ","179,310",20,76
Dani Sandoval,Spain,62,2, 2 ," 104,000 ","119,540",20,80
D. Sosa,Argentina,62,3, 3 ," 156,000 ","179,310",26,62
S. Sprangler,Austria,62,2, 2 ," 104,000 ","119,540",23,68
T. Schmidt,Germany,62,1, 1 ," 52,000 ","59,770",24,64
I. Chenihi,Algeria,62,5, 6 ," 260,000 ","298,851",28,62
L. Shephard,Wales,62,2, 2 ," 104,000 ","119,540",23,66
K. Dirks Riis,Denmark,62,3, 3 ," 156,000 ","179,310",21,74
N. Freeman,England,62,2, 2 ," 104,000 ","119,540",22,68
B. Garratt,England,62,2, 2 ," 104,000 ","119,540",24,69
H. White,England,62,3, 3 ," 156,000 ","179,310",23,69
Sui Weijie,China PR,62,1, 1 ," 52,000 ","59,770",35,62
S. Mvibudulu,DR Congo,62,1, 1 ," 52,000 ","59,770",25,64
M. Degerlund,Sweden,62,1, 1 ," 52,000 ","59,770",20,69
M. Al Enazi,Saudi Arabia,62,3, 3 ," 156,000 ","179,310",34,62
J. Delem,France,62,1, 1 ," 52,000 ","59,770",25,67
André Anderson,Brazil,62,4, 5 ," 208,000 ","239,080",18,79
F. Stritzel,Germany,62,2, 2 ," 104,000 ","119,540",24,67
W. Al Anazi,Saudi Arabia,62,5, 6 ," 260,000 ","298,851",23,69
W. Jobello,France,62,1, 1 ," 52,000 ","59,770",24,67
Luo Xin,China PR,62,2, 2 ," 104,000 ","119,540",28,63
M. Green,England,62,4, 5 ," 208,000 ","239,080",31,62
T. David,Netherlands,62,1, 1 ," 52,000 ","59,770",21,68
A. Danek,Poland,62,1, 1 ," 52,000 ","59,770",23,68
F. Mussa,Tanzania,62,2, 2 ," 104,000 ","119,540",22,72
G. Bolger,Republic of Ireland,62,1, 1 ," 52,000 ","59,770",29,62
G. Glendon,England,62,2, 2 ," 104,000 ","119,540",23,65
D. Caicedo,Colombia,62,1, 1 ," 52,000 ","59,770",18,83
D. Oduro,Ghana,62,2, 2 ," 104,000 ","119,540",32,62
M. Maphangule,South Africa,62,1, 1 ," 52,000 ","59,770",26,63
J. Sheehan,Wales,62,2, 2 ," 104,000 ","119,540",23,69
Jesús Jiménez,Spain,62,1, 1 ," 52,000 ","59,770",24,65
G. Traoré,France,62,1, 1 ," 52,000 ","59,770",18,75
Lee Hyun Woong,Korea Republic,62,1, 1 ," 52,000 ","59,770",30,62
T. Drage,Norway,62,1, 1 ," 52,000 ","59,770",26,63
L. Dajaku,Germany,62,3, 3 ," 156,000 ","179,310",17,82
Y. Al Musallam,Saudi Arabia,62,3, 3 ," 156,000 ","179,310",31,62
Rayco,Spain,62,1, 1 ," 52,000 ","59,770",21,71
Han Hee Hoon,Korea Republic,62,1, 1 ," 52,000 ","59,770",27,63
H. Muñoz,Mexico,62,3, 3 ," 156,000 ","179,310",23,67
B. Badiashile,France,62,4, 5 ," 208,000 ","239,080",17,80
C. Porter,England,62,4, 5 ," 208,000 ","239,080",34,62
R. Kitto,Australia,62,1, 1 ," 52,000 ","59,770",23,66
N. Taravel,France,62,1, 1 ," 52,000 ","59,770",23,68
Y. Verschaeren,Belgium,62,1, 1 ," 52,000 ","59,770",16,83
L. Wilkinson,England,62,2, 2 ," 104,000 ","119,540",26,63
M. Osores,Argentina,62,1, 1 ," 52,000 ","59,770",21,72
M. Gueye,Senegal,62,4, 5 ," 208,000 ","239,080",20,71
I. Bermingham,Republic of Ireland,62,1, 1 ," 52,000 ","59,770",29,62
M. Demetriou,England,62,2, 2 ," 104,000 ","119,540",28,63
N. McGinley,England,62,6, 7 ," 312,000 ","358,621",21,69
N. Shipnoski,Germany,62,1, 1 ," 52,000 ","59,770",20,74
J. Murray,Australia,62,1, 1 ," 52,000 ","59,770",22,69
J. Mauersberger,Germany,62,1, 1 ," 52,000 ","59,770",33,62
S. Ambri,France,62,1, 1 ," 52,000 ","59,770",20,73
R. Sattelmaier,Germany,62,3, 3 ," 156,000 ","179,310",30,62
H. Gjesdal,Norway,62,1, 1 ," 52,000 ","59,770",24,68
Yang Shanping,China PR,62,4, 5 ," 208,000 ","239,080",30,62
M. Pode,Sweden,62,1, 1 ," 52,000 ","59,770",32,62
N. Stierlin,Germany,62,3, 3 ," 156,000 ","179,310",18,76
A. Startsev,Kazakhstan,62,1, 1 ," 52,000 ","59,770",24,65
D. Petrovic,Serbia,62,3, 3 ," 156,000 ","179,310",25,67
C. Daniel,England,62,2, 2 ," 104,000 ","119,540",30,62
J. Anderson,England,62,2, 2 ," 104,000 ","119,540",22,70
Kim Sang Won,Korea Republic,62,1, 1 ," 52,000 ","59,770",26,62
O. Shenton,England,62,5, 6 ," 260,000 ","298,851",20,75
N. Rinderknecht,Germany,62,3, 3 ," 156,000 ","179,310",20,76
H. Al Habib,Saudi Arabia,62,4, 5 ," 208,000 ","239,080",23,68
J. Díaz,Mexico,62,3, 3 ," 156,000 ","179,310",19,73
N. Díaz,Chile,62,1, 1 ," 52,000 ","59,770",19,73
J. Payne,England,62,2, 2 ," 104,000 ","119,540",27,62
M. Pronichev,Russia,62,3, 3 ," 156,000 ","179,310",18,78
A. Dadakdeniz,Turkey,62,1, 1 ," 52,000 ","59,770",18,75
Li Shuai,China PR,62,2, 2 ," 104,000 ","119,540",23,70
V. Emmersón,Congo,62,2, 2 ," 104,000 ","119,540",22,70
V. Mykolenko,Ukraine,62,1, 1 ," 52,000 ","59,770",19,77
K. Çelik,Turkey,62,2, 2 ," 104,000 ","119,540",18,73
W. Pawłowski,Poland,62,1, 1 ," 52,000 ","59,770",25,65
Du Jia,China PR,62,2, 2 ," 104,000 ","119,540",25,67
J. Knight,England,62,6, 7 ," 312,000 ","358,621",20,75
Samuel,Spain,62,1, 1 ," 52,000 ","59,770",21,74
O. Palmer,England,62,2, 2 ," 104,000 ","119,540",26,63
T. Thomas,England,62,1, 1 ," 52,000 ","59,770",22,70
E. Sanhueza,Chile,62,1, 1 ," 52,000 ","59,770",22,70
Y. Guzmán,Colombia,62,1, 1 ," 52,000 ","59,770",20,78
J. Schneider,Germany,62,3, 3 ," 156,000 ","179,310",24,67
M. Albornoz,Sweden,62,1, 1 ," 52,000 ","59,770",30,62
F. Senninger,Germany,62,4, 5 ," 208,000 ","239,080",22,69
E. Ćivić,Bosnia Herzegovina,62,1, 1 ," 52,000 ","59,770",22,70
F. Crisanto,Honduras,62,2, 2 ," 104,000 ","119,540",27,62
J. Gerezgiher,Germany,62,1, 1 ," 52,000 ","59,770",22,69
J. Hoffmann,Germany,62,1, 1 ," 52,000 ","59,770",22,70
G. Alcalá,Mexico,62,1, 1 ," 52,000 ","59,770",25,67
A. Almendra,Argentina,62,2, 2 ," 104,000 ","119,540",18,81
A. Dźwigała,Poland,62,1, 1 ," 52,000 ","59,770",22,68
A. Kenyon,England,62,2, 2 ," 104,000 ","119,540",25,64
S. Friðjónsson,Iceland,62,1, 1 ," 52,000 ","59,770",22,73
F. Illarregui,Argentina,62,2, 2 ," 104,000 ","119,540",21,72
D. Butler,England,62,2, 2 ," 104,000 ","119,540",23,69
J. Mosquera,Colombia,62,1, 1 ," 52,000 ","59,770",21,74
H. Özkan,Turkey,62,2, 2 ," 104,000 ","119,540",20,72
E. Hewitt,Wales,62,3, 3 ," 156,000 ","179,310",24,69
Joan Sastre,Spain,62,1, 1 ," 52,000 ","59,770",21,71
F. Russo,Argentina,62,1, 1 ," 52,000 ","59,770",23,68
J. Nuttall,England,62,6, 7 ," 312,000 ","358,621",21,74
Hélton Carvalhal,Brazil,62,4, 5 ," 208,000 ","239,080",26,62
A. Rossipal,Germany,62,1, 1 ," 52,000 ","59,770",22,70
Wang Shouting,China PR,62,3, 3 ," 156,000 ","179,310",32,62
C. Montano,Colombia,62,3, 3 ," 156,000 ","179,310",26,62
A. Abang,Cameroon,62,1, 1 ," 52,000 ","59,770",21,69
Seol Tae Soo,Korea Republic,62,1, 1 ," 52,000 ","59,770",23,68
M. Nalepa,Poland,62,1, 1 ," 52,000 ","59,770",23,70
B. Kapacak,Turkey,62,2, 2 ," 104,000 ","119,540",18,77
M. Bülter,Germany,62,3, 3 ," 156,000 ","179,310",25,65
M. Koné,France,62,1, 1 ," 52,000 ","59,770",24,65
Bae Jae Woo,Korea Republic,62,1, 1 ," 52,000 ","59,770",25,66
O. Shaw,Scotland,62,1, 1 ," 52,000 ","59,770",20,77
M. van Kins,Netherlands,62,1, 1 ," 52,000 ","59,770",19,73
N. Thaller,Argentina,62,1, 1 ," 52,000 ","59,770",19,78
Elbis,Brazil,62,4, 5 ," 208,000 ","239,080",25,66
Viti,Spain,62,1, 1 ," 52,000 ","59,770",21,72
M. Kouhyar,Afghanistan,62,1, 1 ," 52,000 ","59,770",20,70
R. Sutton,England,62,2, 2 ," 104,000 ","119,540",32,62
M. Cullen,England,62,2, 2 ," 104,000 ","119,540",26,65
A. Kiwomya,England,62,2, 2 ," 104,000 ","119,540",22,74
J. Sanchez,Colombia,62,1, 1 ," 52,000 ","59,770",23,70
F. Onyeka,Nigeria,62,3, 3 ," 156,000 ","179,310",20,74
C. Krempicki,Germany,62,1, 1 ," 52,000 ","59,770",23,68
Marc Vales,Andorra,62,1, 1 ," 52,000 ","59,770",28,64
F. Rodríguez,Switzerland,62,2, 2 ," 104,000 ","119,540",22,69
I. Lučić,Austria,62,2, 2 ," 104,000 ","119,540",23,69
B. Kukeli,Albania,62,5, 6 ," 260,000 ","298,851",34,62
A. Fisher,England,62,2, 2 ," 104,000 ","119,540",28,62
M. Rodriguez,United States,62,1, 1 ," 52,000 ","59,770",22,74
A. Dávila,Uruguay,62,3, 3 ," 156,000 ","179,310",19,76
K. Mawatari,Japan,62,2, 2 ," 104,000 ","119,540",27,63
D. Hernández,Mexico,62,3, 3 ," 156,000 ","179,310",18,74
Quinti,Spain,62,3, 3 ," 156,000 ","179,310",21,69
I. Ljubić,Austria,62,3, 3 ," 156,000 ","179,310",21,72
C. Arano,Bolivia,62,€ 0, -   , -   ,0,23,70
F. Barceló,Uruguay,62,3, 3 ," 156,000 ","179,310",25,67
K. Fukai,Japan,62,1, 1 ," 52,000 ","59,770",23,68
H. Sy,Mauritania,62,1, 1 ," 52,000 ","59,770",22,70
J. Odgaard,Denmark,62,4, 5 ," 208,000 ","239,080",19,80
T. Bunmathan,Thailand,62,2, 2 ," 104,000 ","119,540",28,62
M. Willsch,Germany,62,2, 2 ," 104,000 ","119,540",27,62
L. Fomba,France,62,1, 1 ," 52,000 ","59,770",20,76
C. Huérfano,Colombia,62,1, 1 ," 52,000 ","59,770",22,70
I. Govea,Mexico,62,2, 2 ," 104,000 ","119,540",21,71
B. Gladwin,England,62,7, 8 ," 364,000 ","418,391",26,64
Huang Zhengyu,China PR,62,2, 2 ," 104,000 ","119,540",21,75
A. Verdugo,Argentina,62,2, 2 ," 104,000 ","119,540",20,73
V. Slivka,Lithuania,62,1, 1 ," 52,000 ","59,770",23,68
L. Kelly,Scotland,62,1, 1 ," 52,000 ","59,770",22,74
W. Hashimoto,Japan,62,1, 1 ," 52,000 ","59,770",31,62
J. Broh Tonye,Italy,62,6, 7 ," 312,000 ","358,621",21,71
A. Kanté,Gambia,62,1, 1 ," 52,000 ","59,770",23,68
S. Strand,Sweden,62,1, 1 ," 52,000 ","59,770",25,67
Vitinho,Brazil,62,1, 1 ," 52,000 ","59,770",18,76
F. Mayer,Germany,62,3, 3 ," 156,000 ","179,310",20,76
B. Maguire,Netherlands,62,1, 1 ," 52,000 ","59,770",28,62
G. Williams,England,62,3, 3 ," 156,000 ","179,310",25,67
M. Håkansson,Sweden,62,1, 1 ," 52,000 ","59,770",25,65
F. Kohls,Germany,62,1, 1 ," 52,000 ","59,770",23,70
L. Zidane,France,62,9, 10 ," 468,000 ","537,931",20,71
Jeon Hyeon Chul,Korea Republic,62,1, 1 ," 52,000 ","59,770",27,62
J. Weir,England,62,4, 5 ," 208,000 ","239,080",22,70
M. Rose,England,62,1, 1 ," 52,000 ","59,770",35,62
B. Moore,England,62,3, 3 ," 156,000 ","179,310",29,62
D. Mihailovic,United States,62,1, 1 ," 52,000 ","59,770",19,74
G. Zabret,Slovenia,62,3, 3 ," 156,000 ","179,310",22,72
K. Al Kaabi,Saudi Arabia,62,5, 6 ," 260,000 ","298,851",26,63
J. Brown,Jamaica,62,3, 3 ," 156,000 ","179,310",23,69
D. Rosende,Chile,62,1, 1 ," 52,000 ","59,770",32,62
D. Baumgartner,Austria,62,2, 2 ," 104,000 ","119,540",21,70
M. Pantović,Serbia,62,2, 2 ," 104,000 ","119,540",21,70
M. Goncalves,France,62,2, 2 ," 104,000 ","119,540",17,73
J. Branger-Engone,Gabon,62,3, 3 ," 156,000 ","179,310",24,65
R. Renner,Austria,62,3, 3 ," 156,000 ","179,310",24,64
R. Hatsuse,Japan,62,2, 2 ," 104,000 ","119,540",20,74
Y. Tanaka,Japan,62,1, 1 ," 52,000 ","59,770",29,62
R. Droehnle,France,62,2, 2 ," 104,000 ","119,540",19,76
S. McCoulsky,England,62,6, 7 ," 312,000 ","358,621",21,70
F. Dady Ngoy,France,62,1, 1 ," 52,000 ","59,770",28,62
M. Dolan,England,62,2, 2 ," 104,000 ","119,540",25,66
S. Jackson,Canada,62,2, 2 ," 104,000 ","119,540",31,62
D. Oldaker,England,62,1, 1 ," 52,000 ","59,770",19,71
R. Basque,France,62,1, 1 ," 52,000 ","59,770",23,71
Javi Pérez,Spain,62,1, 1 ," 52,000 ","59,770",32,62
C. Ogilvie,England,62,9, 10 ," 468,000 ","537,931",22,71
Z. Elbouzedi,Republic of Ireland,62,1, 1 ," 52,000 ","59,770",20,75
P. Dárdai,Germany,62,2, 2 ," 104,000 ","119,540",19,77
Prendes,Spain,62,1, 1 ," 52,000 ","59,770",21,72
G. Ferrari,Argentina,62,2, 2 ," 104,000 ","119,540",21,74
M. Willock,England,62,11, 13 ," 572,000 ","657,471",21,73
E. Riis Jakobsen,Denmark,62,2, 2 ," 104,000 ","119,540",20,73
S. Coulibaly,France,62,1, 1 ," 52,000 ","59,770",22,73
M. Biamou,France,62,2, 2 ," 104,000 ","119,540",27,62
D. Cardozo,Argentina,62,3, 3 ," 156,000 ","179,310",31,62
E. Seidou,France,62,1, 1 ," 52,000 ","59,770",26,63
S. Ohlsson,Sweden,62,1, 1 ," 52,000 ","59,770",25,67
C. Woodman,England,62,2, 2 ," 104,000 ","119,540",35,62
V. Leikvoll Moberg,Norway,62,1, 1 ," 52,000 ","59,770",27,63
D. Johnson,United States,62,1, 1 ," 52,000 ","59,770",22,69
L. Öhman,Sweden,62,1, 1 ," 52,000 ","59,770",26,65
T. Morishima,Japan,62,2, 2 ," 104,000 ","119,540",21,74
S. Cleveland,United States,62,1, 1 ," 52,000 ","59,770",24,68
U. Nissilä,Finland,62,2, 2 ," 104,000 ","119,540",22,69
J. Thompson,England,62,1, 1 ," 52,000 ","59,770",29,62
João Lopes,Brazil,62,1, 1 ," 52,000 ","59,770",22,68
Lee Jin Hyung,Korea Republic,62,1, 1 ," 52,000 ","59,770",30,62
C. Essers,Netherlands,62,1, 1 ," 52,000 ","59,770",21,67
F. Franks,England,62,2, 2 ," 104,000 ","119,540",27,63
J. Campbell-Ryce,Jamaica,62,2, 2 ," 104,000 ","119,540",35,62
M. Etuin,France,62,2, 2 ," 104,000 ","119,540",22,69
Jung San,Korea Republic,62,1, 1 ," 52,000 ","59,770",29,62
